Model, Dataset, Seed, Batch Size, Num Epoch, Num Devices, Training Time, Train Accuracy, Valid Accuracy, Test AccuracyResNet,MNIST,42,512,50,4,398.9064636230469,99.62440490722656,99.4000015258789,99.5199966430664
ResNet,MNIST,42,256,50,4,407.907958984375,99.72206115722656,99.4000015258789,99.55999755859375
ResNet,MNIST,42,512,50,2,846.4717407226562,99.86102294921875,99.53333282470703,99.50999450683594
ResNet,MNIST,42,128,50,4,432.8473815917969,99.73213958740234,99.46666717529297,99.58999633789062
AlexNet,MNIST,42,256,50,1,1483.55419921875,99.71353912353516,99.28333282470703,99.47999572753906
ResNet,MNIST,42,64,50,4,462.0315856933594,99.73957824707031,99.5999984741211,99.58999633789062
ResNet,MNIST,42,256,50,2,882.8490600585938,99.86607360839844,99.53333282470703,99.62999725341797
ResNet,MNIST,42,512,50,1,1815.8048095703125,99.9702377319336,99.51666259765625,99.5999984741211
AlexNet,CIFAR-10,42,512,50,1,1672.9124755859375,60.92403030395508,59.92000198364258,59.57999801635742
ResNet,MNIST,42,32,50,4,558.685302734375,99.69566345214844,99.53333282470703,99.63999938964844
ResNet,MNIST,42,128,50,2,931.2705078125,99.86235046386719,99.63333892822266,99.6199951171875
AlexNet,MNIST,42,128,50,1,1542.097412109375,99.87752532958984,99.33333587646484,99.5199966430664
AlexNet,CIFAR-10,42,512,50,2,777.3748779296875,26.085573196411133,27.439998626708984,25.709999084472656
AlexNet,CIFAR-10,42,256,50,1,1713.193115234375,81.68080139160156,74.76000213623047,74.27999877929688
ResNet,MNIST,42,256,50,1,1861.9913330078125,99.9702377319336,99.48333740234375,99.60999298095703
ResNet,MNIST,42,64,50,2,1021.327880859375,99.88494873046875,99.5,99.63999938964844
AlexNet,CIFAR-10,42,128,50,2,830.1537475585938,76.42411041259766,71.5999984741211,71.70999908447266
ResNet,CIFAR-10,42,512,50,1,1881.9146728515625,99.8114242553711,80.86000061035156,80.78999328613281
AlexNet,MNIST,42,64,50,1,1670.3790283203125,99.90547180175781,99.38333892822266,99.52999877929688
ResNet,MNIST,42,32,50,2,1284.804443359375,99.85543060302734,99.63333892822266,99.66999816894531
AlexNet,CIFAR-10,42,64,50,2,879.5081176757812,85.4344711303711,77.56000518798828,76.16999816894531
AlexNet,CIFAR-10,42,128,50,1,1753.2398681640625,94.07718658447266,78.13999938964844,77.75
ResNet,MNIST,42,128,50,1,1977.7447509765625,99.95361328125,99.53333282470703,99.70999908447266
AlexNet,CIFAR-10,42,32,50,2,979.0545654296875,89.5314712524414,76.52000427246094,76.7300033569336
ResNet,CIFAR-10,42,512,50,2,957.1898193359375,96.03469848632812,78.87999725341797,78.36000061035156
ResNet,CIFAR-10,42,256,50,1,1908.1634521484375,99.83928680419922,82.63999938964844,82.40999603271484
AlexNet,MNIST,42,32,50,1,1934.4122314453125,99.89811706542969,99.4000015258789,99.49999237060547
ResNet,CIFAR-10,42,256,50,2,989.819091796875,97.77298736572266,80.47999572753906,80.91999816894531
AlexNet,CIFAR-10,42,64,50,1,1881.93798828125,98.56863403320312,78.18000030517578,78.3499984741211
ResNet,MNIST,42,64,50,1,2104.6796875,99.95736694335938,99.56666564941406,99.67999267578125
ResNet,CIFAR-10,42,128,50,2,1027.835205078125,97.69196319580078,81.31999969482422,81.58999633789062
ResNet,CIFAR-10,42,128,50,1,2012.921875,99.88648223876953,84.0,83.7699966430664
ResNet,CIFAR-10,42,64,50,2,1104.07080078125,97.41364288330078,82.63999938964844,82.44999694824219
AlexNet,CIFAR-10,42,32,50,1,2067.3232421875,98.91758728027344,77.68000030517578,77.6500015258789
ResNet,MNIST,42,32,50,1,2467.355712890625,99.94998931884766,99.5,99.65999603271484
ResNet,CIFAR-10,42,64,50,1,2104.888671875,99.85330963134766,85.13999938964844,84.38999938964844
ResNet,CIFAR-10,42,32,50,2,1318.8140869140625,96.8127670288086,83.24000549316406,83.44000244140625
ResNet,CIFAR-10,42,32,50,1,2330.945068359375,99.84441375732422,84.65999603271484,84.68000030517578
AlexNet,MNIST,42,512,50,4,354.15093994140625,49.69951629638672,50.93333053588867,52.54999923706055
AlexNet,MNIST,42,256,50,4,357.63690185546875,97.81400299072266,97.73332977294922,98.55999755859375
AlexNet,MNIST,42,128,50,4,378.4715270996094,99.17410278320312,98.86666870117188,99.27999877929688
AlexNet,MNIST,42,64,50,4,414.338623046875,99.4047622680664,99.26666259765625,99.31999969482422
AlexNet,MNIST,42,32,50,4,483.2934265136719,99.53236389160156,99.4000015258789,99.47999572753906
AlexNet,CIFAR-10,42,512,50,4,394.7896728515625,10.444567680358887,9.440000534057617,10.460000038146973
AlexNet,CIFAR-10,42,256,50,4,413.2006530761719,25.608646392822266,26.64000129699707,25.209999084472656
AlexNet,CIFAR-10,42,128,50,4,432.5965576171875,52.056396484375,54.15999984741211,52.0
AlexNet,CIFAR-10,42,64,50,4,460.81878662109375,69.48213958740234,66.95999908447266,66.69999694824219
AlexNet,CIFAR-10,42,32,50,4,513.2659301757812,75.3027114868164,71.52000427246094,71.05999755859375
ResNet,CIFAR-10,42,512,50,4,431.56475830078125,84.45870208740234,75.52000427246094,75.20999908447266
ResNet,CIFAR-10,42,256,50,4,451.5192565917969,87.82703399658203,78.79999542236328,77.4800033569336
ResNet,CIFAR-10,42,128,50,4,474.26904296875,88.38900756835938,80.87999725341797,79.25999450683594
ResNet,CIFAR-10,42,64,50,4,502.88427734375,88.15177917480469,81.12000274658203,79.5999984741211
ResNet,CIFAR-10,42,32,50,4,582.2850341796875,87.37535095214844,81.27999877929688,79.53999328613281
AlexNet,MNIST,42,512,50,2,758.5723876953125,98.35862731933594,98.56666564941406,98.82999420166016
AlexNet,MNIST,42,256,50,2,783.207275390625,99.296875,98.96666717529297,99.22999572753906
AlexNet,MNIST,42,128,50,2,816.574951171875,99.53497314453125,99.16666412353516,99.38999938964844
AlexNet,MNIST,42,64,50,2,900.9215087890625,99.74020385742188,99.36666870117188,99.3499984741211
AlexNet,MNIST,42,32,50,2,1045.8841552734375,99.7479248046875,99.5,99.43999481201172
AlexNet,CIFAR-10,42,512,50,2,853.4171142578125,26.117368698120117,27.479999542236328,25.770000457763672
AlexNet,CIFAR-10,42,256,50,2,857.8414306640625,57.507179260253906,56.91999816894531,56.80999755859375
AlexNet,MNIST,42,512,50,1,1661.482666015625,99.08110046386719,98.81666564941406,99.06999206542969
ResNet,MNIST,42,512,50,8,206.14761352539062,99.33894348144531,99.19999694824219,99.30999755859375
ResNet,MNIST,42,256,50,8,211.6152801513672,99.39903259277344,99.06666564941406,99.4699935913086
ResNet,MNIST,42,128,50,8,223.9082794189453,99.50421142578125,99.19999694824219,99.55999755859375
ResNet,MNIST,42,64,50,8,243.65875244140625,99.53868865966797,99.19999694824219,99.47999572753906
ResNet,MNIST,42,32,50,8,294.57879638671875,99.43452453613281,99.06666564941406,99.52999877929688
AlexNet,MNIST,42,512,50,8,182.8590545654297,20.402645111083984,19.733333587646484,20.349998474121094
AlexNet,MNIST,42,256,50,8,188.44369506835938,73.4375,76.66666412353516,76.73999786376953
AlexNet,MNIST,42,128,50,8,197.43887329101562,98.27223205566406,97.86666870117188,98.6399917602539
AlexNet,MNIST,42,64,50,8,218.1719207763672,98.98809814453125,98.79999542236328,99.2199935913086
AlexNet,MNIST,42,32,50,8,253.35052490234375,99.1815414428711,98.79999542236328,99.30999755859375
AlexNet,CIFAR-10,42,512,50,8,197.6693572998047,10.13671875,12.15999984741211,10.09999942779541
AlexNet,CIFAR-10,42,256,50,8,211.7637939453125,9.858630180358887,9.600000381469727,10.170000076293945
AlexNet,CIFAR-10,42,128,50,8,224.2122039794922,24.309593200683594,28.15999984741211,24.739999771118164
AlexNet,CIFAR-10,42,64,50,8,240.4545440673828,43.82183837890625,44.15999984741211,44.29999923706055
AlexNet,CIFAR-10,42,32,50,8,274.3665771484375,58.94643020629883,59.20000076293945,59.060001373291016
ResNet,CIFAR-10,42,512,50,8,214.12652587890625,70.87890625,72.15999603271484,66.33999633789062
ResNet,CIFAR-10,42,256,50,8,231.87496948242188,76.09747314453125,75.04000091552734,71.2300033569336
ResNet,CIFAR-10,42,128,50,8,245.73045349121094,76.83502960205078,75.04000091552734,72.38999938964844
ResNet,CIFAR-10,42,64,50,8,264.2294616699219,76.97557067871094,77.44000244140625,73.12999725341797
ResNet,CIFAR-10,42,32,50,8,310.5971374511719,76.35714721679688,78.23999786376953,72.78999328613281
ResNet,MNIST,42,256,50,16,108.93011474609375,99.27884674072266,99.19999694824219,99.32999420166016
